اسم المصنع / المنشأة,الاسم بالإنجليزية,القطاع الصناعي,المنطقة الفرعية / المجمع الصناعي,حالة المطابقة مع CRM,الاسم المطابق في السيستم,رقم التليفون,الموقع الإلكتروني,العنوان التفصيلي,رابط Google Maps المباشر,خط العرض (Latitude),خط الطول (Longitude),التصنيف التقني Overture,المعرف الفرعي (Overture ID)
Ryada Chem,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201010012066,http://www.ryadachem.com/,6th Industrial Zone Extension,"https://www.google.com/maps?q=29.916901,30.873646",29.916901,30.873646,chemical_plant,dfc85d78-555b-46b8-8d76-d629187cc548
National Group of companies for modern packaging,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,http://www.nato-pack.com/,6 October City,"https://www.google.com/maps?q=29.918022,30.874352",29.918022,30.874352,commercial_industrial,d4e16796-7711-4aab-b166-f5b6df31d35a
Super pack _شركة سوبر باك للصناعات الهندسيه,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201098885817,http://www.superpackegypt.com/,مدينة 6 اكتوبر _ امتداد المنطقة الصناعيه السادسه _قطعة رقم 82,"https://www.google.com/maps?q=29.926382,30.87451",29.926382,30.87451,industrial_company,9bff9f18-cc6f-481a-921d-c170d6e1da86
"Egywrap,Icopack and Copack Group",,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,http://www.copack.com.eg/, Industrial Area No.1,"https://www.google.com/maps?q=29.918524,30.8748",29.918524,30.8748,industrial_company,356ca13c-9d94-474c-8525-1b343cabeca0
IFCG EGYPT,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000220409,—,u202bمجمع سي.بي.سي. الصناعي قطعةu202c، التوسعات الشماليه,"https://www.google.com/maps?q=29.953375,30.874352",29.953375,30.874352,business_manufacturing_and_supply,4b336d88-eec5-49ad-8b47-e5e37580ec55
Lana tex,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,http://www.lanatex-eg.com/,المدينة الصناعية,"https://www.google.com/maps?q=29.934746,30.875454",29.934746,30.875454,commercial_industrial,2302ceff-363f-43da-ab96-c486f84269f5
العربية لتجهيزات السيارات المتخصصة,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201200127070,https://www.instagram.com/alarabiave/,السادس من اكتوبر,"https://www.google.com/maps?q=29.926874,30.87565",29.926874,30.87565,automotive_repair,78d12bb7-b1b6-4aba-8adc-29905f8f2ca8
الشركة السورية لصناعة الأقمشة البلاستيكية,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201272114757,—,المنطقه الصناعيه امتداد السادسه,"https://www.google.com/maps?q=29.915478,30.875788",29.915478,30.875788,fabric_store,2fce002a-c4a0-48cc-81f7-fc83a97a155f
المنطقه الصناعيه الرابعه 6اكتوبر شركه الأهرام للتجاره والصناعه,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,المنطقه الصناعيه الرابعه قطعه 57,"https://www.google.com/maps?q=29.941523,30.876307",29.941523,30.876307,b2b_textiles,d9a02216-aa67-4f6e-8150-325fc06a6bf9
الشركة المتحدة للصناعات المغذية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 38338554,http://www.fimcoegypt.com,المنطقة الصناعية الرابعة,"https://www.google.com/maps?q=29.944691,30.87668",29.944691,30.87668,auto_parts_and_supply_store,45cfa47a-4880-4e5c-a129-5445d6754b6f
Se Wiring System Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238243151,—,الحي السادس,"https://www.google.com/maps?q=29.918577,30.877209",29.918577,30.877209,auto_manufacturers_and_distributors,9162bea5-04f1-49d6-82ed-6f3a60f2ca5b
El Dardery Glass,,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238339575,http://www.darderyglass.com/,Street 6,"https://www.google.com/maps?q=29.9179,30.877481",29.9179,30.877481,glass_manufacturer,3042ba39-2659-4ef5-9ebf-b1c522c9675d
Bedoo plant,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201067399352,https://www.hopp.bio/bedo-company,"Plot 36, , 4th،","https://www.google.com/maps?q=29.94462,30.878061",29.94462,30.878061,business_manufacturing_and_supply,7ae56d40-708d-48f3-8b68-454e8e7b2794
شركة الإبداع لصناعة ماكينة الشيكولاتة,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201028333775,http://alebdaa.net/,السادس من اكتوبر,"https://www.google.com/maps?q=29.933615,30.878172",29.933615,30.878172,,dc70d471-94b7-4ecf-b45e-c9a5b0f99675
Nissan Motor Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20221600194,http://www.nissan.com.eg,Industrial Rd 22,"https://www.google.com/maps?q=29.929314,30.878696",29.929314,30.878696,auto_manufacturers_and_distributors,f32394ce-f264-4b5b-a568-c3bdf838be3e
مخزن محجوب للسيراميك والبورسلين (5)‎ و (٦),,مواد بناء ورخام وسيراميك وخرسانة جاهزة,المنطقة الصناعية السادسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,01113144331,https://www.mahgoub.com/,طريق الواحات بجوار مخزن محجوب 7 للسيراميك,"https://www.google.com/maps?q=29.899866,30.877937",29.899866,30.877937,warehouses,ecc85958-8968-4cd3-b17f-363b61765778
شركة الكارمكو للصناعات المعدنية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201113355690,http://www.alkaremco.com/,144 شارع 6,"https://www.google.com/maps?q=29.909716,30.879642",29.909716,30.879642,construction_services,f1de35af-2458-4d30-afc3-e46543b05212
توكيل سانج يونج,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,السادس من اكتوبر,"https://www.google.com/maps?q=29.933146,30.879482",29.933146,30.879482,car_dealer,3ab4fa4f-95b8-49be-ae86-1d2ec8e9c552
Unilever Soap and Powder Plants Egypt,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238333441,—,، 4th Industrial Zone,"https://www.google.com/maps?q=29.937433,30.87892",29.937433,30.87892,business_manufacturing_and_supply,fa9c2eb3-c7a2-46e1-bf23-2c0ed14e9ce4
Global Advanced Pharmaceuticals (GAP),,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,02 38640125,https://www.globalpharmaceuticalgroup.com,"24, North Extensions Area, 6th Industrial Zone.","https://www.google.com/maps?q=29.965778,30.879107",29.965778,30.879107,commercial_industrial,71541fe0-ba03-4244-9bb4-f6e88c67c51f
الشركة الوطنية للاعشاب الطبية والعطرية,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201008300112,https://unherbs.com/,6th of October,"https://www.google.com/maps?q=29.998106,30.880207",29.998106,30.880207,shopping,91248c4b-c2a9-43b4-9936-f07b5e03ccbf
"Power House ""Power Generation solutions""",,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,012 23980046,http://www.powerhouseegypt.com,"6th of October ,","https://www.google.com/maps?q=29.916363,30.879591",29.916363,30.879591,commercial_industrial,b8582b34-4c4c-43e5-ad4f-f87efc2f4f03
مصنع جهينة 6 اكتوبر,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,www.juhayna.com,6th Industrial Zone,"https://www.google.com/maps?q=29.922195,30.880585",29.922195,30.880585,commercial_industrial,0ca9d6da-5d22-444f-abd9-a160cdfae29a
Misr Compressor - شركة مصر كمبرسور لتجارة و آستيراد ضواغط الهواء,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201221641594,http://www.misrcompressor.com/,"شركة مصر كمبروسر | Misr Compressor Company، قطعه ١٤٠ امتداد المنطقه الصناعيه الثالثه, Giza Governorate 12451","https://www.google.com/maps?q=29.920921,30.880653",29.920921,30.880653,industrial_equipment,aa549888-c7d3-4064-a830-089397bc7392
High Star Plast Co.,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201020440504,—,16-3 رقم 6,"https://www.google.com/maps?q=29.921038,30.880751",29.921038,30.880751,plastic_company,3b6ed0b5-b51a-4b07-8905-6281a1d6ccbb
سنابل للصناعات الالكترونية,,صناعات كهربائية وكابلات والكترونيات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,010 01506683,http://www.sanabeleg.com,القطعة 84 أ/1 - - المنطقة الصناعية السادسة,"https://www.google.com/maps?q=29.917929,30.880997",29.917929,30.880997,electronics,cc9d7019-f84e-482e-8bce-d29075327191
شركة اولاد يحيي لقطع غيار السيارات النقل الثقيل ,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201027609029,—,شركة اولاد يحيي الحي ال ١٢ امام شركة الكهرباء المحور الموزي للاوسطي ,"https://www.google.com/maps?q=29.976494,30.880459",29.976494,30.880459,truck_dealer,d994d1d5-c5cf-461a-94b8-b9488d341900
VSP ENERGY Limited,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201095584473,https://vspenergyltd.com/,VSP Energy ltd.,"https://www.google.com/maps?q=29.978148,30.880554",29.978148,30.880554,construction_services,07c04546-7d9e-47b9-976a-2963ff067f1a
Procter & Gamble Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,https://www.pg.com/en_EG/index.shtml,Industrial Zone 4,"https://www.google.com/maps?q=29.939951,30.881672",29.939951,30.881672,commercial_industrial,f4f701b2-806d-4d0d-8ad4-80a58de0de77
Dotra,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201227736053,https://linktr.ee/dotra_app,Polaris,"https://www.google.com/maps?q=29.953903,30.881565",29.953903,30.881565,chemical_plant,e3c21ae3-74eb-4f61-bf63-9e2cc7408f50
Cairo Foam,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201111179611,http://www.cairofoam.com/,طريق المصانع 22، قسم ثان 6 أكتوبر، محافظة الجيزة 12211,"https://www.google.com/maps?q=29.931541,30.881523",29.931541,30.881523,industrial_company,bbaf5594-64bd-4ff1-b790-bd81158eaaad
Agility Logistics Egypt,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الثالثة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238270700,—,"Agility Logistics Egypt - Plot#167, Warehouse area, 6th industrial area extension","https://www.google.com/maps?q=29.894754,30.882748",29.894754,30.882748,freight_and_cargo_service,a49aafb2-acd0-452d-8737-2914c678da1f
Expert Middle East,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201000749984,http://expert-mideast.com/,Plot No. 7 - Northern Expansions Polaris Industrial Center,"https://www.google.com/maps?q=29.955149,30.882484",29.955149,30.882484,hvac_services,c10f7578-39c6-45a1-8318-2f71307d1949
Tepco Egypt,,صناعات كهربائية وكابلات والكترونيات,المنطقة الصناعية الأولى (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238331015,http://www.tepco-group.com/,"4th Industrial zone, 51 street, Bock 27","https://www.google.com/maps?q=29.946732,30.883001",29.946732,30.883001,electric_utility_provider,9818f055-94e5-4e8a-b632-a9efa7147fc3
البنا لتشغيل المعادن,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الثانية (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201005622600,https://elbannasteel.com/,720 مخازن الشباب المنطقة الصناعية 6 اكتوبر,"https://www.google.com/maps?q=29.937712,30.882633",29.937712,30.882633,shopping,2ba700a0-2584-4e08-8762-8a057abcec88
